Chrom	Strt	End	Naine	Novaria	Naine/Naine	Novaria/Naine
NC_025202.1	5200001	5300000	100	83	3.0	2.508
NC_025202.1	5300001	5400000	92	83	3.0	2.726
NC_025202.1	5400001	5500000	143	141	3.0	2.979
NC_025202.1	5500001	5600000	66	67	3.0	3.067
NC_025202.1	5600001	5700000	109	107	3.0	2.966
NC_025202.1	5700001	5800000	97	78	3.0	2.43
NC_025202.1	5800001	5900000	130	128	3.0	2.975
NC_025202.1	5900001	6000000	114	83	3.0	2.2
NC_025202.1	6000001	6100000	113	103	3.0	2.754
NC_025202.1	6100001	6200000	130	99	3.0	2.301
NC_025202.1	6200001	6300000	93	93	3.0	3.022
NC_025202.1	6300001	6400000	133	117	3.0	2.658
NC_025202.1	6400001	6500000	118	102	3.0	2.612
NC_025202.1	6500001	6600000	108	122	3.0	3.413
NC_025202.1	6600001	6700000	104	115	3.0	3.341
NC_025202.1	6700001	6800000	130	130	3.0	3.022
NC_025202.1	6800001	6900000	146	124	3.0	2.566
NC_025202.1	6900001	7000000	150	121	3.0	2.437
NC_025202.1	7000001	7100000	57	53	3.0	2.809
NC_025202.1	7100001	7200000	140	143	3.0	3.086
NC_025202.1	7200001	7300000	152	158	3.0	3.141
NC_025202.1	7300001	7400000	190	159	3.0	2.529
NC_025202.1	7400001	7500000	121	157	3.0	3.921
NC_025202.1	7500001	7600000	125	109	3.0	2.635
NC_025202.1	7600001	7700000	154	141	3.0	2.766
NC_025202.1	7700001	7800000	138	124	3.0	2.715
NC_025202.1	7800001	7900000	152	131	3.0	2.604
NC_025202.1	7900001	8000000	119	95	3.0	2.412
NC_025202.1	8000001	8100000	142	158	3.0	3.362
NC_025202.1	8100001	8200000	45	37	3.0	2.484
NC_025202.1	8200001	8300000	7	4	3.0	1.727
NC_025202.1	8300001	8400000	130	124	3.0	2.882
NC_025202.1	8400001	8500000	122	107	3.0	2.65
NC_025202.1	8500001	8600000	144	158	3.0	3.315
NC_025202.1	8600001	8700000	154	136	3.0	2.668
NC_025202.1	8700001	8800000	104	107	3.0	3.109
NC_025202.1	8800001	8900000	104	116	3.0	3.37
NC_025202.1	8900001	9000000	105	91	3.0	2.619
NC_025202.1	9000001	9100000	105	91	3.0	2.619
NC_025202.1	9100001	9200000	127	100	3.0	2.379
NC_025202.1	9200001	9300000	129	111	3.0	2.6
NC_025202.1	9300001	9400000	112	133	3.0	3.588
NC_025202.1	9400001	9500000	73	87	3.0	3.601
NC_025202.1	9500001	9600000	106	91	3.0	2.594
NC_025202.1	9600001	9700000	52	63	3.0	3.661
NC_025202.1	9700001	9800000	114	88	3.0	2.332
NC_025202.1	9800001	9900000	132	93	3.0	2.129
NC_025202.1	9900001	10000000	128	123	3.0	2.904
NC_025202.1	10000001	10100000	107	95	3.0	2.683
NC_025202.1	10100001	10200000	135	109	3.0	2.44
NC_025202.1	10200001	10300000	121	96	3.0	2.397
NC_025202.1	10300001	10400000	121	135	3.0	3.371
NC_025202.1	10400001	10500000	122	113	3.0	2.799
NC_025202.1	10500001	10600000	112	100	3.0	2.698
NC_025202.1	10600001	10700000	153	141	3.0	2.785
NC_025202.1	10700001	10800000	120	119	3.0	2.996
NC_025202.1	10800001	10900000	163	117	3.0	2.169
NC_025202.1	10900001	11000000	127	104	3.0	2.474
NC_025202.1	11000001	11100000	124	132	3.0	3.216
NC_025202.1	11100001	11200000	127	110	3.0	2.617
NC_025202.1	11200001	11300000	132	103	3.0	2.358
NC_025202.1	11300001	11400000	137	126	3.0	2.779
NC_025202.1	11400001	11500000	141	116	3.0	2.486
NC_025202.1	11500001	11600000	130	124	3.0	2.882
NC_025202.1	11600001	11700000	157	113	3.0	2.175
NC_025202.1	11700001	11800000	152	101	3.0	2.008
NC_025202.1	11800001	11900000	124	109	3.0	2.656
NC_025202.1	11900001	12000000	142	105	3.0	2.234
NC_025202.1	12000001	12100000	76	57	3.0	2.266
NC_025202.1	12100001	12200000	144	110	3.0	2.308
NC_025202.1	12200001	12300000	106	103	3.0	2.936
NC_025202.1	12300001	12400000	116	118	3.0	3.074
NC_025202.1	12400001	12500000	86	83	3.0	2.916
NC_025202.1	12500001	12600000	116	102	3.0	2.657
NC_025202.1	12600001	12700000	96	68	3.0	2.14
NC_025202.1	12700001	12800000	159	139	3.0	2.641
NC_025202.1	12800001	12900000	129	115	3.0	2.694
NC_025202.1	12900001	13000000	154	138	3.0	2.708
NC_025202.1	13000001	13100000	103	105	3.0	3.08
NC_025202.1	13100001	13200000	144	146	3.0	3.064
NC_025202.1	13200001	13300000	169	169	3.0	3.022
NC_025202.1	13300001	13400000	139	143	3.0	3.108
NC_025202.1	13400001	13500000	64	68	3.0	3.21
NC_025202.1	13500001	13600000	83	97	3.0	3.531
NC_025202.1	13600001	13700000	138	145	3.0	3.175
NC_025202.1	13700001	13800000	145	144	3.0	3.001
NC_025202.1	13800001	13900000	126	107	3.0	2.566
NC_025202.1	13900001	14000000	138	138	3.0	3.022
NC_025202.1	14000001	14100000	109	129	3.0	3.576
NC_025202.1	14100001	14200000	154	155	3.0	3.041
NC_025202.1	14200001	14300000	176	156	3.0	2.678
NC_025202.1	14300001	14400000	82	92	3.0	3.39
NC_025202.1	14400001	14500000	96	87	3.0	2.738
NC_025202.1	14500001	14600000	76	80	3.0	3.181
NC_025202.1	14600001	14700000	112	93	3.0	2.509
NC_025202.1	14700001	14800000	180	138	3.0	2.317
NC_025202.1	14800001	14900000	101	95	3.0	2.842
NC_025202.1	14900001	15000000	83	91	3.0	3.313
NC_025202.1	15000001	15100000	157	217	3.0	4.176
NC_025202.1	15100001	15200000	130	133	3.0	3.091
NC_025202.1	15200001	15300000	112	111	3.0	2.995
NC_025202.1	15300001	15400000	72	73	3.0	3.064
NC_025202.1	15400001	15500000	102	113	3.0	3.347
NC_025202.1	15500001	15600000	171	131	3.0	2.315
NC_025202.1	15600001	15700000	110	136	3.0	3.736
NC_025202.1	15700001	15800000	89	114	3.0	3.87
NC_025202.1	15800001	15900000	166	121	3.0	2.202
NC_025202.1	15900001	16000000	94	81	3.0	2.604
NC_025202.1	16000001	16100000	124	130	3.0	3.168
NC_025202.1	16100001	16200000	160	145	3.0	2.738
NC_025202.1	16200001	16300000	153	104	3.0	2.054
NC_025202.1	16300001	16400000	50	75	3.0	4.532
NC_025202.1	16400001	16500000	110	108	3.0	2.967
NC_025202.1	16500001	16600000	102	110	3.0	3.259
NC_025202.1	16600001	16700000	126	99	3.0	2.374
NC_025202.1	16700001	16800000	110	101	3.0	2.774
NC_025202.1	16800001	16900000	91	91	3.0	3.022
NC_025202.1	16900001	17000000	134	124	3.0	2.796
NC_025202.1	17000001	17100000	124	107	3.0	2.607
NC_025202.1	17100001	17200000	156	160	3.0	3.099
NC_025202.1	17200001	17300000	132	122	3.0	2.793
NC_025202.1	17300001	17400000	143	121	3.0	2.557
NC_025202.1	17400001	17500000	92	85	3.0	2.792
NC_025202.1	17500001	17600000	30	27	3.0	2.719
NC_025202.1	17600001	17700000	68	58	3.0	2.577
NC_025202.1	17700001	17800000	136	126	3.0	2.799
NC_025202.1	17800001	17900000	117	121	3.0	3.125
NC_025202.1	17900001	18000000	69	60	3.0	2.627
NC_025202.1	18000001	18100000	94	79	3.0	2.539
NC_025202.1	18100001	18200000	94	75	3.0	2.411
NC_025202.1	18200001	18300000	106	90	3.0	2.565
NC_025202.1	18300001	18400000	141	103	3.0	2.207
NC_025202.1	18400001	18500000	87	100	3.0	3.473
NC_025202.1	18500001	18600000	102	96	3.0	2.844
NC_025202.1	18600001	18700000	113	123	3.0	3.289
NC_025202.1	18700001	18800000	41	52	3.0	3.832
NC_025202.1	18800001	18900000	100	109	3.0	3.293
NC_025202.1	18900001	19000000	69	81	3.0	3.547
NC_025202.1	19000001	19100000	55	52	3.0	2.857
NC_025202.1	19100001	19200000	138	154	3.0	3.372
NC_025202.1	19200001	19300000	100	104	3.0	3.142
NC_025202.1	19300001	19400000	137	124	3.0	2.735
NC_025202.1	19400001	19500000	10	9	3.0	2.719
NC_025202.1	19500001	19600000	107	128	3.0	3.615
NC_025202.1	19600001	19700000	125	110	3.0	2.659
NC_025202.1	19700001	19800000	115	125	3.0	3.284
NC_025202.1	19800001	19900000	111	104	3.0	2.831
NC_025202.1	19900001	20000000	105	106	3.0	3.05
NC_025202.1	20000001	20100000	94	69	3.0	2.218
NC_025202.1	20100001	20200000	95	81	3.0	2.576
NC_025202.1	20200001	20300000	86	89	3.0	3.127
NC_025202.1	20300001	20400000	22	12	3.0	1.648
NC_025202.1	20400001	20500000	0	0	.	.
NC_025202.1	20500001	20600000	50	53	3.0	3.203
NC_025202.1	20600001	20700000	69	83	3.0	3.635
NC_025202.1	20700001	20800000	18	9	3.0	1.511
NC_025202.1	20800001	20900000	28	26	3.0	2.806
NC_025202.1	20900001	21000000	24	18	3.0	2.266
NC_025202.1	21000001	21100000	0	0	.	.
NC_025202.1	21100001	21200000	10	14	3.0	4.23
NC_025202.1	21200001	21300000	3	6	3.0	6.043
NC_025202.1	21300001	21400000	6	4	3.0	2.014
NC_025202.1	21400001	21500000	75	66	3.0	2.659
NC_025202.1	21500001	21600000	42	37	3.0	2.662
NC_025202.1	21600001	21700000	93	84	3.0	2.729
NC_025202.1	21700001	21800000	22	44	3.0	6.043
NC_025202.1	21800001	21900000	55	52	3.0	2.857
NC_025202.1	21900001	22000000	71	55	3.0	2.341
NC_025202.1	22000001	22100000	47	41	3.0	2.636
NC_025202.1	22100001	22200000	37	33	3.0	2.695
NC_025202.1	22200001	22300000	72	72	3.0	3.022
NC_025202.1	22300001	22400000	75	66	3.0	2.659
NC_025202.1	22400001	22500000	16	15	3.0	2.833
NC_025202.1	22500001	22600000	18	20	3.0	3.357
NC_025202.1	22600001	22700000	17	18	3.0	3.199
NC_025202.1	22700001	22800000	27	38	3.0	4.253
NC_025202.1	22800001	22900000	38	28	3.0	2.226
NC_025202.1	22900001	23000000	20	22	3.0	3.324
NC_025202.1	23000001	23100000	0	2	.	.
NC_025202.1	23100001	23200000	48	57	3.0	3.588
NC_025202.1	23200001	23300000	4	1	3.0	0.755
NC_025202.1	23300001	23400000	10	1	3.0	0.302
NC_025202.1	23400001	23500000	24	26	3.0	3.273
NC_025202.1	23500001	23600000	22	22	3.0	3.022
NC_025202.1	23600001	23700000	80	69	3.0	2.606
NC_025202.1	23700001	23800000	59	46	3.0	2.356
NC_025202.1	23800001	23900000	47	43	3.0	2.764
NC_025202.1	23900001	24000000	55	42	3.0	2.307
NC_025202.1	24000001	24100000	32	39	3.0	3.682
NC_025202.1	24100001	24200000	57	62	3.0	3.287
NC_025202.1	24200001	24300000	50	45	3.0	2.719
NC_025202.1	24300001	24400000	8	9	3.0	3.399
NC_025202.1	24400001	24500000	4	0	3.0	0.0
NC_025202.1	24500001	24600000	2	2	3.0	3.022
NC_025202.1	24600001	24700000	0	0	.	.
NC_025202.1	24700001	24800000	7	5	3.0	2.158
NC_025202.1	24800001	24900000	0	0	.	.
NC_025202.1	24900001	25000000	3	2	3.0	2.014
NC_025202.1	25000001	25100000	1	2	3.0	6.043
NC_025202.1	25100001	25200000	0	0	.	.
NC_025202.1	25200001	25300000	1	0	3.0	0.0
NC_025202.1	25300001	25400000	0	0	.	.
NC_025202.1	25400001	25500000	0	0	.	.
NC_025202.1	25500001	25600000	0	0	.	.
NC_025202.1	25600001	25700000	3	2	3.0	2.014
NC_025202.1	25700001	25800000	18	11	3.0	1.846
NC_025202.1	25800001	25900000	0	0	.	.
NC_025202.1	25900001	26000000	18	20	3.0	3.357
NC_025202.1	26000001	26100000	38	51	3.0	4.055
NC_025202.1	26100001	26200000	15	19	3.0	3.827
NC_025202.1	26200001	26300000	8	11	3.0	4.155
NC_025202.1	26300001	26400000	14	8	3.0	1.727
NC_025202.1	26400001	26500000	40	33	3.0	2.493
NC_025202.1	26500001	26600000	45	45	3.0	3.022
NC_025202.1	26600001	26700000	16	14	3.0	2.644
NC_025202.1	26700001	26800000	44	41	3.0	2.816
NC_025202.1	26800001	26900000	50	48	3.0	2.901
NC_025202.1	26900001	27000000	52	49	3.0	2.847
NC_025202.1	27000001	27100000	65	57	3.0	2.65
NC_025202.1	27100001	27200000	16	16	3.0	3.022
NC_025202.1	27200001	27300000	46	43	3.0	2.824
NC_025202.1	27300001	27400000	60	40	3.0	2.014
NC_025202.1	27400001	27500000	41	45	3.0	3.316
NC_025202.1	27500001	27573629	35	29	3.0	2.504



































NC_025203.1	1	100000	38	38	3.0	3.022
NC_025203.1	100001	200000	24	18	3.0	2.266
NC_025203.1	200001	300000	1	0	3.0	0.0
NC_025203.1	300001	400000	2	0	3.0	0.0
NC_025203.1	400001	500000	4	0	3.0	0.0
NC_025203.1	500001	600000	3	3	3.0	3.022
NC_025203.1	600001	700000	1	1	3.0	3.022
NC_025203.1	700001	800000	4	1	3.0	0.755
NC_025203.1	800001	900000	47	38	3.0	2.443
NC_025203.1	900001	1000000	36	30	3.0	2.518
NC_025203.1	1000001	1100000	1	0	3.0	0.0
NC_025203.1	1100001	1200000	9	8	3.0	2.686
NC_025203.1	1200001	1300000	3	7	3.0	7.05
NC_025203.1	1300001	1400000	0	0	.	.
NC_025203.1	1400001	1500000	0	0	.	.
NC_025203.1	1500001	1600000	0	0	.	.
NC_025203.1	1600001	1700000	3	1	3.0	1.007
NC_025203.1	1700001	1800000	5	8	3.0	4.834
NC_025203.1	1800001	1900000	54	39	3.0	2.182
NC_025203.1	1900001	2000000	0	2	.	.
NC_025203.1	2000001	2100000	0	0	.	.
NC_025203.1	2100001	2200000	10	5	3.0	1.511
NC_025203.1	2200001	2300000	13	11	3.0	2.557
NC_025203.1	2300001	2400000	20	9	3.0	1.36
NC_025203.1	2400001	2500000	0	0	.	.
NC_025203.1	2500001	2600000	39	44	3.0	3.409
NC_025203.1	2600001	2700000	2	0	3.0	0.0
NC_025203.1	2700001	2800000	20	18	3.0	2.719
NC_025203.1	2800001	2900000	11	6	3.0	1.648
NC_025203.1	2900001	3000000	4	7	3.0	5.288
NC_025203.1	3000001	3100000	40	38	3.0	2.87
NC_025203.1	3100001	3200000	14	21	3.0	4.532
NC_025203.1	3200001	3300000	13	10	3.0	2.324
NC_025203.1	3300001	3400000	17	18	3.0	3.199
NC_025203.1	3400001	3500000	23	24	3.0	3.153
NC_025203.1	3500001	3600000	40	27	3.0	2.04
NC_025203.1	3600001	3700000	17	11	3.0	1.955
NC_025203.1	3700001	3800000	40	42	3.0	3.173
NC_025203.1	3800001	3900000	19	15	3.0	2.385
NC_025203.1	3900001	4000000	44	49	3.0	3.365
NC_025203.1	4000001	4100000	59	44	3.0	2.253
NC_025203.1	4100001	4200000	0	0	.	.
NC_025203.1	4200001	4300000	15	13	3.0	2.619
NC_025203.1	4300001	4400000	22	24	3.0	3.296
NC_025203.1	4400001	4500000	3	0	3.0	0.0
NC_025203.1	4500001	4600000	38	37	3.0	2.942
NC_025203.1	4600001	4700000	2	2	3.0	3.022
NC_025203.1	4700001	4800000	17	18	3.0	3.199
NC_025203.1	4800001	4900000	8	7	3.0	2.644
NC_025203.1	4900001	5000000	18	13	3.0	2.182
NC_025203.1	5000001	5100000	31	20	3.0	1.949
NC_025203.1	5100001	5200000	13	6	3.0	1.395
NC_025203.1	5200001	5300000	3	4	3.0	4.029
NC_025203.1	5300001	5400000	3	8	3.0	8.057
NC_025203.1	5400001	5500000	11	12	3.0	3.296
NC_025203.1	5500001	5600000	31	32	3.0	3.119
NC_025203.1	5600001	5700000	69	76	3.0	3.328
NC_025203.1	5700001	5800000	33	33	3.0	3.022
NC_025203.1	5800001	5900000	0	0	.	.
NC_025203.1	5900001	6000000	33	36	3.0	3.296
NC_025203.1	6000001	6100000	10	10	3.0	3.022
NC_025203.1	6100001	6200000	37	26	3.0	2.123
NC_025203.1	6200001	6300000	22	15	3.0	2.06
NC_025203.1	6300001	6400000	25	17	3.0	2.055
NC_025203.1	6400001	6500000	46	52	3.0	3.416
NC_025203.1	6500001	6600000	10	7	3.0	2.115
NC_025203.1	6600001	6700000	3	5	3.0	5.036
NC_025203.1	6700001	6800000	24	8	3.0	1.007
NC_025203.1	6800001	6900000	45	31	3.0	2.082
NC_025203.1	6900001	7000000	4	0	3.0	0.0
NC_025203.1	7000001	7100000	28	25	3.0	2.698
NC_025203.1	7100001	7200000	69	66	3.0	2.89
NC_025203.1	7200001	7300000	52	38	3.0	2.208
NC_025203.1	7300001	7400000	56	47	3.0	2.536
NC_025203.1	7400001	7500000	118	113	3.0	2.894
NC_025203.1	7500001	7600000	128	137	3.0	3.234
NC_025203.1	7600001	7700000	44	55	3.0	3.777
NC_025203.1	7700001	7800000	130	112	3.0	2.603
NC_025203.1	7800001	7900000	138	103	3.0	2.255
NC_025203.1	7900001	8000000	100	92	3.0	2.78
NC_025203.1	8000001	8100000	119	75	3.0	1.904
NC_025203.1	8100001	8200000	117	124	3.0	3.202
NC_025203.1	8200001	8300000	110	125	3.0	3.434
NC_025203.1	8300001	8400000	117	93	3.0	2.402
NC_025203.1	8400001	8500000	70	62	3.0	2.676
NC_025203.1	8500001	8600000	76	78	3.0	3.101
NC_025203.1	8600001	8700000	122	113	3.0	2.799
NC_025203.1	8700001	8800000	99	115	3.0	3.51
NC_025203.1	8800001	8900000	108	111	3.0	3.105
NC_025203.1	8900001	9000000	112	97	3.0	2.617
NC_025203.1	9000001	9100000	82	81	3.0	2.985
NC_025203.1	9100001	9200000	131	85	3.0	1.961
NC_025203.1	9200001	9300000	105	108	3.0	3.108
NC_025203.1	9300001	9400000	142	148	3.0	3.149
NC_025203.1	9400001	9500000	129	116	3.0	2.717
NC_025203.1	9500001	9600000	130	122	3.0	2.836
NC_025203.1	9600001	9700000	142	158	3.0	3.362
NC_025203.1	9700001	9800000	128	128	3.0	3.022
NC_025203.1	9800001	9900000	21	22	3.0	3.165
NC_025203.1	9900001	10000000	133	137	3.0	3.112
NC_025203.1	10000001	10100000	153	137	3.0	2.706
NC_025203.1	10100001	10200000	118	111	3.0	2.842
NC_025203.1	10200001	10300000	115	96	3.0	2.522
NC_025203.1	10300001	10400000	146	150	3.0	3.104
NC_025203.1	10400001	10500000	169	135	3.0	2.414
NC_025203.1	10500001	10600000	180	171	3.0	2.87
NC_025203.1	10600001	10700000	115	98	3.0	2.575
NC_025203.1	10700001	10800000	268	285	3.0	3.213
NC_025203.1	10800001	10900000	180	134	3.0	2.249
NC_025203.1	10900001	11000000	52	56	3.0	3.254
NC_025203.1	11000001	11100000	143	126	3.0	2.662
NC_025203.1	11100001	11200000	162	174	3.0	3.245
NC_025203.1	11200001	11300000	93	93	3.0	3.022
NC_025203.1	11300001	11400000	158	165	3.0	3.155
NC_025203.1	11400001	11500000	160	128	3.0	2.417
NC_025203.1	11500001	11600000	149	122	3.0	2.474
NC_025203.1	11600001	11700000	115	95	3.0	2.496
NC_025203.1	11700001	11800000	156	143	3.0	2.77
NC_025203.1	11800001	11900000	185	138	3.0	2.254
NC_025203.1	11900001	12000000	164	143	3.0	2.635
NC_025203.1	12000001	12100000	93	106	3.0	3.444
NC_025203.1	12100001	12200000	133	114	3.0	2.59
NC_025203.1	12200001	12300000	150	127	3.0	2.558
NC_025203.1	12300001	12400000	183	169	3.0	2.79
NC_025203.1	12400001	12500000	115	124	3.0	3.258
NC_025203.1	12500001	12600000	101	93	3.0	2.782
NC_025203.1	12600001	12700000	133	134	3.0	3.044
NC_025203.1	12700001	12800000	199	189	3.0	2.87
NC_025203.1	12800001	12900000	152	156	3.0	3.101
NC_025203.1	12900001	13000000	152	156	3.0	3.101
NC_025203.1	13000001	13100000	143	149	3.0	3.148
NC_025203.1	13100001	13200000	102	125	3.0	3.703
NC_025203.1	13200001	13300000	143	141	3.0	2.979
NC_025203.1	13300001	13400000	122	136	3.0	3.368
NC_025203.1	13400001	13500000	100	71	3.0	2.145
NC_025203.1	13500001	13600000	117	141	3.0	3.641
NC_025203.1	13600001	13700000	159	145	3.0	2.755
NC_025203.1	13700001	13800000	91	97	3.0	3.221
NC_025203.1	13800001	13900000	26	28	3.0	3.254
NC_025203.1	13900001	14000000	136	108	3.0	2.399
NC_025203.1	14000001	14100000	44	49	3.0	3.365
NC_025203.1	14100001	14200000	104	91	3.0	2.644
NC_025203.1	14200001	14300000	137	133	3.0	2.933
NC_025203.1	14300001	14400000	134	94	3.0	2.12
NC_025203.1	14400001	14500000	129	153	3.0	3.584
NC_025203.1	14500001	14600000	96	106	3.0	3.336
NC_025203.1	14600001	14700000	124	95	3.0	2.315
NC_025203.1	14700001	14800000	195	168	3.0	2.603
NC_025203.1	14800001	14900000	118	101	3.0	2.586
NC_025203.1	14900001	15000000	135	107	3.0	2.395
NC_025203.1	15000001	15100000	164	142	3.0	2.616
NC_025203.1	15100001	15200000	140	145	3.0	3.129
NC_025203.1	15200001	15300000	168	154	3.0	2.77
NC_025203.1	15300001	15400000	122	96	3.0	2.378
NC_025203.1	15400001	15500000	129	113	3.0	2.647
NC_025203.1	15500001	15600000	128	117	3.0	2.762
NC_025203.1	15600001	15700000	158	145	3.0	2.773
NC_025203.1	15700001	15800000	75	60	3.0	2.417
NC_025203.1	15800001	15900000	176	153	3.0	2.627
NC_025203.1	15900001	16000000	135	149	3.0	3.335
NC_025203.1	16000001	16100000	157	134	3.0	2.579
NC_025203.1	16100001	16200000	78	89	3.0	3.448
NC_025203.1	16200001	16300000	69	83	3.0	3.635
NC_025203.1	16300001	16400000	120	120	3.0	3.022
NC_025203.1	16400001	16500000	131	122	3.0	2.814
NC_025203.1	16500001	16600000	167	168	3.0	3.04
NC_025203.1	16600001	16700000	163	138	3.0	2.558
NC_025203.1	16700001	16800000	171	143	3.0	2.527
NC_025203.1	16800001	16900000	139	127	3.0	2.761
NC_025203.1	16900001	17000000	131	119	3.0	2.745
NC_025203.1	17000001	17100000	144	117	3.0	2.455
NC_025203.1	17100001	17200000	109	125	3.0	3.465
NC_025203.1	17200001	17300000	150	124	3.0	2.498
NC_025203.1	17300001	17400000	143	116	3.0	2.451
NC_025203.1	17400001	17500000	135	125	3.0	2.798
NC_025203.1	17500001	17600000	149	114	3.0	2.312
NC_025203.1	17600001	17700000	110	101	3.0	2.774
NC_025203.1	17700001	17800000	153	144	3.0	2.844
NC_025203.1	17800001	17900000	87	76	3.0	2.64
NC_025203.1	17900001	18000000	117	92	3.0	2.376
NC_025203.1	18000001	18100000	121	118	3.0	2.947
NC_025203.1	18100001	18200000	155	120	3.0	2.339
NC_025203.1	18200001	18300000	121	92	3.0	2.297
NC_025203.1	18300001	18400000	119	97	3.0	2.463
NC_025203.1	18400001	18500000	122	118	3.0	2.922
NC_025203.1	18500001	18600000	89	76	3.0	2.58
NC_025203.1	18600001	18700000	112	108	3.0	2.914
NC_025203.1	18700001	18800000	64	80	3.0	3.777
NC_025203.1	18800001	18900000	90	87	3.0	2.921
NC_025203.1	18900001	19000000	99	88	3.0	2.686
NC_025203.1	19000001	19100000	138	136	3.0	2.978
NC_025203.1	19100001	19200000	131	130	3.0	2.998
NC_025203.1	19200001	19300000	157	131	3.0	2.521
NC_025203.1	19300001	19400000	168	153	3.0	2.752
NC_025203.1	19400001	19500000	121	135	3.0	3.371
NC_025203.1	19500001	19600000	172	166	3.0	2.916
NC_025203.1	19600001	19700000	108	118	3.0	3.301
NC_025203.1	19700001	19800000	124	110	3.0	2.68
NC_025203.1	19800001	19900000	156	126	3.0	2.44
NC_025203.1	19900001	20000000	103	107	3.0	3.139
NC_025203.1	20000001	20100000	106	75	3.0	2.138
NC_025203.1	20100001	20200000	97	90	3.0	2.803
NC_025203.1	20200001	20300000	144	125	3.0	2.623
NC_025203.1	20300001	20400000	138	124	3.0	2.715
NC_025203.1	20400001	20500000	100	89	3.0	2.689
NC_025203.1	20500001	20600000	101	100	3.0	2.992
NC_025203.1	20600001	20700000	151	130	3.0	2.601
NC_025203.1	20700001	20800000	82	81	3.0	2.985
NC_025203.1	20800001	20900000	120	90	3.0	2.266
NC_025203.1	20900001	21000000	79	63	3.0	2.41
NC_025203.1	21000001	21100000	111	101	3.0	2.749
NC_025203.1	21100001	21200000	109	107	3.0	2.966
NC_025203.1	21200001	21300000	145	157	3.0	3.272
NC_025203.1	21300001	21400000	135	127	3.0	2.842
NC_025203.1	21400001	21500000	135	117	3.0	2.619
NC_025203.1	21500001	21600000	144	122	3.0	2.56
NC_025203.1	21600001	21700000	152	148	3.0	2.942
NC_025203.1	21700001	21800000	166	161	3.0	2.931
NC_025203.1	21800001	21900000	150	139	3.0	2.8
NC_025203.1	21900001	22000000	86	73	3.0	2.565
NC_025203.1	22000001	22054697	46	26	3.0	1.708



































NC_025204.1	1	100000	24	25	3.0	3.147
NC_025204.1	100001	200000	116	102	3.0	2.657
