Chrom	Strt	End	ES430	ET385	ES430/ES430	ET385/ES430
NC_029264.1	10000001	15000000	612046	768538	2.0	2.039
NC_029264.1	15000001	20000000	859846	1039784	2.0	1.963
NC_029264.1	20000001	23012720	574862	689649	2.0	1.948
NC_029265.1	1	5000000	484726	619589	2.0	2.075
NC_029265.1	5000001	10000000	341962	443535	2.0	2.106
NC_029265.1	10000001	15000000	601465	762754	2.0	2.059
NC_029265.1	15000001	20000000	710626	933093	2.0	2.132
NC_029265.1	20000001	23207287	545216	663954	2.0	1.977
NC_029266.1	1	5000000	529078	659798	2.0	2.025
NC_029266.1	5000001	10000000	524593	664067	2.0	2.055
NC_029266.1	10000001	15000000	356691	457603	2.0	2.083
NC_029266.1	15000001	20000000	562941	732308	2.0	2.112
NC_029266.1	20000001	25000000	569839	689464	2.0	1.964
NC_029266.1	25000001	29021106	395572	474314	2.0	1.947
NC_029267.1	1	5000000	558304	707291	2.0	2.057
NC_029267.1	5000001	10000000	428478	555445	2.0	2.105
NC_029267.1	10000001	15000000	420490	527415	2.0	2.036
NC_029267.1	15000001	20000000	497228	636485	2.0	2.078
NC_029267.1	20000001	25000000	659506	813831	2.0	2.003
NC_029267.1	25000001	27531856	425675	522781	2.0	1.994
NW_015379186.1	1	8529	82	81	2.0	1.604
NW_015379187.1	1	6261	0	0	.	.
NW_015379188.1	1	7140	0	0	.	.
NW_015379189.1	1	20829	0	0	.	.
NW_015379190.1	1	11447	9	9	2.0	1.624
NW_015379191.1	1	22545	499	526	2.0	1.711
NW_015379192.1	1	6000	118	131	2.0	1.802
NW_015379193.1	1	4236	0	0	.	.
NW_015379194.1	1	5510	0	0	.	.
NW_015379195.1	1	10210	0	0	.	.
NW_015379196.1	1	6269	0	0	.	.
NW_015379197.1	1	8197	0	0	.	.
NW_015379198.1	1	13061	478	609	2.0	2.068
NW_015379199.1	1	10434	0	0	.	.
NW_015379200.1	1	10686	20	20	2.0	1.624
NW_015379201.1	1	10311	0	0	.	.
NW_015379202.1	1	11093	0	0	.	.
NW_015379203.1	1	9603	12	11	2.0	1.488
NW_015379204.1	1	9548	0	0	.	.
NW_015379205.1	1	10794	2	3	2.0	2.435
NW_015379206.1	1	12884	97	103	2.0	1.724
NW_015379207.1	1	31094	5365	7141	2.0	2.161
NW_015379208.1	1	11522	320	454	2.0	2.303
NW_015379209.1	1	19971	3512	3859	2.0	1.784
NW_015379210.1	1	10060	0	0	.	.
NW_015379211.1	1	24772	2958	3515	2.0	1.929
NW_015379212.1	1	9889	0	0	.	.
NW_015379213.1	1	17477	429	442	2.0	1.673
NW_015379214.1	1	10699	4	4	2.0	1.624
NW_015379215.1	1	10422	449	553	2.0	2.0
NW_015379216.1	1	12792	1177	1405	2.0	1.938
NW_015379217.1	1	10595	0	0	.	.
NW_015379218.1	1	21421	3371	4250	2.0	2.047
NW_015379219.1	1	10512	0	0	.	.
NW_015379220.1	1	16417	32	22	2.0	1.116
NW_015379221.1	1	10901	996	1112	2.0	1.813
NW_015379222.1	1	15493	259	210	2.0	1.316
NW_015379223.1	1	10296	0	0	.	.
NW_015379224.1	1	16676	0	0	.	.
NW_015379225.1	1	7820	0	0	.	.
NW_015379226.1	1	21787	0	0	.	.
NW_015379227.1	1	19457	2648	3465	2.0	2.124
NW_015379228.1	1	14476	96	106	2.0	1.793
NC_001320.1	1	134525	27	53	2.0	3.187
NC_011033.1	1	490520	109514	138702	2.0	2.056
NC_001751.1	1	2135	2	8	2.0	6.494
